Kind,Name,AvgCyclomatic,Cyclomatic,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,CountLineCode,CountLineBlank,CountLineCodeDecl,CountLineCodeExe,CountStmtDecl,CountStmtExe,CountSemicolon,CountStmt,SumCyclomatic,MaxCyclomatic,CountLine,CountDeclClass,CountLineComment,RatioCommentToCode,CountDeclFunction
Public Class,accord.utils.DefaultRandom,1,,5,0,5,0,61,11,24,12,14,12,13,26,12,1,72,,0,0.00,
Public Class,accord.utils.Gens,2,,10,0,10,0,763,102,208,368,215,327,330,502,105,5,879,,26,0.03,
Public Class,accord.utils.Invariants,2,,6,0,6,0,255,45,51,111,49,107,69,156,86,5,300,,0,0.00,
Public Class,accord.utils.Property,3,,12,0,11,0,776,96,189,332,191,287,276,455,41,13,876,,4,0.01,
Public Class,accord.utils.SeedProvider,2,,8,0,7,1,19,2,7,8,7,7,8,11,4,3,29,,8,0.42,
Public Class,accord.utils.async.TimeoutUtils,3,,35,0,32,3,39,1,7,19,6,15,14,19,5,3,43,,3,0.08,
Public Class,com.datastax.driver.core.PreparedStatementHelper,2,,6,0,6,0,80,13,16,36,15,26,20,39,18,3,93,,0,0.00,
Public Class,org.apache.cassandra.AbstractSerializationsTester,1,,5,0,5,0,42,7,14,19,13,19,19,26,6,1,49,,0,0.00,
Public Class,org.apache.cassandra.CassandraBriefJUnitResultFormatter,2,,13,0,9,4,155,35,33,102,32,84,74,108,33,8,281,,92,0.59,
Public Class,org.apache.cassandra.CassandraIsolatedJunit4ClassRunner,2,,9,0,6,3,54,10,12,22,10,16,12,24,3,2,78,,14,0.26,
Public Class,org.apache.cassandra.CassandraXMLJUnitResultFormatter,2,,15,1,9,5,201,44,58,129,56,113,101,145,45,8,345,,101,0.50,
Public Class,org.apache.cassandra.JStackJUnitTask,1,,5,0,5,0,83,10,22,30,18,28,25,41,3,1,93,,0,0.00,
Public Class,org.apache.cassandra.LogbackStatusListener,3,,13,1,12,1,414,56,100,206,67,164,126,223,23,6,490,,20,0.05,
Public Class,org.apache.cassandra.RepeatableRunner,2,,11,1,10,0,54,9,18,18,15,13,18,27,7,2,78,,15,0.28,
