Kind,Name,RatioCommentToCode,SumCyclomatic,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,CountDeclClass,CountClassBase,CountDeclFunction,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,MaxCyclomatic,CountStmtExe,CountStmt
Public Class,org.apache.calcite.interpreter.StormContext,4.00,1,3,0,3,0,1,,2,,0,5,2,1,20,1,1,3
Public Class,org.apache.storm.AssertLoop,0.00,5,5,0,5,0,1,,1,,4,18,4,9,0,2,5,9
Public Class,org.apache.storm.Config,1.26,70,6,0,5,1,1,,1,,131,1000,828,423,1260,4,111,474
Public Class,org.apache.storm.Constants,0.29,0,0,0,0,0,0,,1,,5,38,37,36,11,0,2,37
Public Class,org.apache.storm.DaemonConfig,1.51,5,6,0,4,2,1,,2,,175,455,443,193,687,2,7,199
Public Class,org.apache.storm.DaemonConfigTest,0.22,11,7,1,7,0,1,,1,,12,55,23,28,12,3,26,39
Public Class,org.apache.storm.ExclamationTopology,0.07,3,10,1,9,0,2,,1,,16,68,32,36,5,2,24,45
Public Class,org.apache.storm.LocalCluster,0.27,152,9,0,8,1,2,,3,,145,819,285,413,224,18,366,533
Public Class,org.apache.storm.LocalCluster.LocalTopology,0.92,2,4,0,4,0,1,,2,,2,12,6,4,11,1,3,8
Public Class,org.apache.storm.LocalDRPC,0.26,10,5,0,4,1,1,,2,,12,46,23,13,12,1,13,26
Public Class,org.apache.storm.LocalStateTest,0.20,3,21,3,18,0,1,,1,,12,55,20,40,11,1,40,44
Public Class,org.apache.storm.LogWriter,0.26,9,12,0,12,0,2,,1,,4,53,17,33,14,4,24,37
Public Class,org.apache.storm.MessagingTest,0.23,4,31,3,27,1,2,,1,,8,56,21,44,13,2,40,45
Public Class,org.apache.storm.MockAutoCred,0.39,7,4,0,4,0,1,,4,,9,36,21,13,14,1,7,21
Public Class,org.apache.storm.PaceMakerStateStorageFactoryTest,0.00,15,8,0,8,0,1,,1,,16,102,42,54,0,1,49,68
Public Class,org.apache.storm.PacemakerTest,0.06,12,15,1,14,0,1,,1,,30,173,54,133,11,1,129,150
Public Class,org.apache.storm.ProcessSimulator,0.70,10,12,0,9,3,3,,1,,4,40,10,25,28,6,23,29
Public Class,org.apache.storm.ServerConstants,1.57,0,0,0,0,0,0,,1,,0,7,6,5,11,0,0,6
Public Class,org.apache.storm.StormSubmitter,0.47,58,20,1,13,5,3,,1,,59,313,81,203,148,12,172,210
Public Class,org.apache.storm.StormTimer,0.58,18,13,0,7,5,2,,2,,26,143,34,81,83,4,64,93
Public Class,org.apache.storm.SubmitterTest,0.09,6,12,0,11,1,1,,1,,6,68,38,48,6,1,47,55
Public Class,org.apache.storm.TestCgroups,0.34,7,13,2,10,1,1,,1,,20,61,29,45,21,2,34,46
Public Class,org.apache.storm.TestConfigValidate,0.01,117,24,3,21,0,2,,1,,130,673,221,518,8,7,418,544
Public Class,org.apache.storm.TestDaemonConfigValidate,0.02,8,22,3,18,0,2,,1,,14,57,18,44,1,3,36,46
Public Class,org.apache.storm.TestRebalance,0.11,14,25,4,21,0,3,,1,,28,114,45,88,12,4,78,91
Public Class,org.apache.storm.TestStormSubmitter,0.00,4,25,1,24,0,4,,1,,2,26,10,19,0,4,14,18
Public Class,org.apache.storm.TestStormTimer,0.19,30,27,1,22,4,4,,1,,12,161,53,112,31,18,79,115
Public Class,org.apache.storm.Testing,0.59,84,16,0,10,6,2,,1,,57,392,108,248,230,11,191,253
Public Class,org.apache.storm.TestingTest,0.20,4,9,1,8,0,1,,1,,16,70,35,55,14,1,43,49
Public Class,org.apache.storm.Thrift,0.00,53,6,0,6,0,2,,1,,52,241,84,119,0,9,112,171
Public Class,org.apache.storm.TickTupleTest,0.20,6,19,1,16,2,2,,1,,12,87,25,56,17,2,44,55
