Kind,Name,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,CountClassDerived,CountDeclClass,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeExe,CountStmt,MaxCyclomatic,Cyclomatic,RatioCommentToCode,SumCyclomatic,CountLineComment
Public Class,BlockForensics,42,10,31,3,5,0,,,162,33,94,70,62,9,,0.43,15,40
Public Class,ClassWithNoPackage,0,0,0,0,0,0,,,19,0,2,0,1,0,,8.50,0,17
Public Class,org.apache.hadoop.blockforensics.BlockSearch,15,3,12,0,2,0,,,113,15,66,41,49,3,,0.50,4,33
Public Class,org.apache.hadoop.cli.CLITestCmdMR,8,0,4,4,1,0,,,35,1,10,2,5,1,,2.40,2,24
Public Class,org.apache.hadoop.cli.TestMRCLI,6,0,6,0,1,0,,,128,12,99,52,61,3,,0.17,9,17
Public Class,org.apache.hadoop.cli.util.CLICommandArchive,0,0,0,0,0,0,,,19,0,2,0,1,0,,8.50,0,17
Public Class,org.apache.hadoop.cli.util.CLICommandMRAdmin,0,0,0,0,0,0,,,19,0,2,0,1,0,,8.50,0,17
Public Class,org.apache.hadoop.conf.TestJobConf,22,3,16,2,1,0,,,180,31,115,92,93,1,,0.30,7,34
Public Class,org.apache.hadoop.conf.TestNoDefaultsJobConf,32,8,24,1,2,0,,,89,18,48,41,42,3,,0.48,4,23
Public Class,org.apache.hadoop.contrib.index.example.HashingDistributionPolicy,4,0,4,0,2,0,,,49,5,14,5,10,2,,2.14,5,30
Public Class,org.apache.hadoop.contrib.index.example.IdentityLocalAnalysis,3,0,3,0,1,0,,,45,4,12,1,5,1,,2.42,3,29
Public Class,org.apache.hadoop.contrib.index.example.LineDocInputFormat,5,0,5,0,1,0,,,33,2,8,2,4,1,,2.88,1,23
Public Class,org.apache.hadoop.contrib.index.example.LineDocLocalAnalysis,9,1,7,0,2,0,,,65,9,27,14,16,3,,1.07,5,29
Public Class,org.apache.hadoop.contrib.index.example.LineDocRecordReader,15,1,13,1,3,0,,,212,23,133,82,95,8,,0.44,26,58
Public Class,org.apache.hadoop.contrib.index.example.LineDocTextAndOp,5,0,3,2,1,0,,,81,8,27,9,17,1,,1.70,7,46
Public Class,org.apache.hadoop.contrib.index.example.RoundRobinDistributionPolicy,4,0,4,0,1,0,,,51,4,16,6,12,1,,2.00,3,32
Public Class,org.apache.hadoop.contrib.index.lucene.FileSystemDirectory,9,1,7,1,2,0,,,331,45,210,100,143,7,,0.39,28,81
Public Class,org.apache.hadoop.contrib.index.lucene.RAMDirectoryUtil,40,4,29,8,6,0,,,107,11,60,40,43,6,,0.62,12,37
Public Class,org.apache.hadoop.contrib.index.lucene.ShardWriter,23,2,17,4,3,0,,,213,22,127,85,90,6,,0.50,21,64
Public Class,org.apache.hadoop.contrib.index.lucene.TestMixedDirectory,15,2,13,0,2,0,,,84,12,55,39,45,3,,0.31,7,17
Public Class,org.apache.hadoop.contrib.index.main.UpdateIndex,33,3,28,1,6,0,,,255,27,177,134,133,22,,0.29,36,52
Public Class,org.apache.hadoop.contrib.index.mapred.DocumentAndOp,10,0,6,3,1,0,,,197,18,99,58,74,3,,0.81,17,80
Public Class,org.apache.hadoop.contrib.index.mapred.DocumentID,5,0,4,1,1,0,,,79,7,30,12,18,2,,1.40,8,42
Public Class,org.apache.hadoop.contrib.index.mapred.IndexUpdateCombiner,10,1,9,0,2,0,,,97,12,53,29,37,7,,0.62,11,33
Public Class,org.apache.hadoop.contrib.index.mapred.IndexUpdateConfiguration,7,0,3,4,1,0,,,243,27,85,31,52,1,,1.54,25,131
