Bug ID,Bug Summary,Bug Description,Affected Version,Fix Version
CASSANDRA-19895,Update OWASP dependency checker to version 10.0.4,"Version 10.0.0 we are at stopped to work.

https://github.com/jeremylong/DependencyCheck?tab=readme-ov-file#mandatory-upgrade-notice",N/A,"3.0.31, 3.11.18, 4.0.14, 4.1.7, 5.0.1, 5.1"
CASSANDRA-19752,Debian packaging fails after openjdk-8* and java8* removed from bullseye,"No candidates for {{`openjdk-8-jdk | java8-jdk`}}

Failure occurs at the {{mk-build-deps}} step…
{noformat}
Broken cassandra-build-deps:amd64 Depends on openjdk-8-jdk:amd64 < none @un H >
     Removing cassandra-build-deps:amd64 because I can't find openjdk-8-jdk:amd64
Broken cassandra-build-deps:amd64 Depends on java8-jdk:amd64 < none @un H >
     Removing cassandra-build-deps:amd64 because I can't find java8-jdk:amd64
     Or group remove for cassandra-build-deps:amd64
…
mk-build-deps: Unable to install cassandra-build-deps at /usr/bin/mk-build-deps line 457.
mk-build-deps: Unable to install all build-dep packages
{noformat}
ref: https://ci-cassandra.apache.org/job/Cassandra-3.0-artifacts/jdk=jdk_1.8_latest,label=cassandra/428/console ",N/A,"2.2.20, 3.0.31, 3.11.18"
CASSANDRA-19738,Update dependency-check library to version 10.0.0,"Currently, we are at 9.0.5, which gives me locally basically this (1)

Version 10.0.0 was released today and check is passing again.

We should update it everywhere to 10.0.0

(1) https://github.com/jeremylong/DependencyCheck/issues/6515",N/A,"3.0.31, 3.11.18, 4.0.14, 5.0-rc1, 5.1-alpha1"
CASSANDRA-19708,Remove sid from bullseye docker images,"sid is flakey, often broken and takes days for correct packages to be uploaded.

ref: https://ci-cassandra.apache.org/job/Cassandra-4.1-artifacts/jdk=jdk_1.8_latest,label=cassandra/611/ 

sid is only used for jdk8

looks like replacing it with temurin might be a safer/stable choice.

",N/A,"3.0.x, 3.0.31, 3.11.18, 4.0.14, 4.1.6, 5.0-rc1, 5.0, 5.1"
CASSANDRA-19681,Debian repository is missing 3.11.17 package,"The Debian package for Cassandra 3.11.17 is missing from the JFrog artifactory. The [package index|https://apache.jfrog.io/artifactory/cassandra-deb/dists/311x/main/binary-amd64/Packages] is still referencing version 3.11.16:

{code}
Package: cassandra
Version: 3.11.16
...
Filename: pool/main/c/cassandra/cassandra_3.11.16_all.deb
...

Package: cassandra-tools
Source: cassandra
Version: 3.11.16
...
Filename: pool/main/c/cassandra/cassandra-tools_3.11.16_all.deb
...
{code}

When I tried to install the latest C* 3.11 version on Ubuntu, 3.11.16 got installed instead of 3.11.17.

Note that this was originally reported by [Roman on Stack Exchange|https://dba.stackexchange.com/questions/340007/].",N/A,3.11.17
CASSANDRA-19650,CCM wrongly interprets CASSANDRA_USE_JDK11 for Cassandra 4.x,"CCM interprets {{CASSANDRA_USE_JDK11}} only by its existence in the environment rather than by its actual value (true/false). 

I can see two solutions:
- make it interpret {{CASSANDRA_USE_JDK11}} properly
- do not take into account {{CASSANDRA_USE_JDK11}} in the current env and set it or unset it automatically when starting a node basing on which Java version was selected
",N/A,"3.0.31, 3.11.18, 4.0.14, 4.1.6"
CASSANDRA-19628,Correct testing instructions on the website,"At https://cassandra.apache.org/_/development/testing.html it says to issue these statements for cqlsh tests:

{noformat}
ccm updateconf ""enable_user_defined_functions: true""
ccm updateconf ""enable_scripted_user_defined_functions: true""
ccm updateconf ""cdc_enabled: true""
{noformat}

But these actually break the configuration so it won't start.",N/A,"3.0.31, 4.0.14, 4.1.6, 5.0-rc1, 5.0, 5.1"
CASSANDRA-19614,Add java version to prepare_release.sh human check step,"With the many versions of java one may need to float these days, it would be nice for prepare_release.sh to show the version you are using when it asks the ""Is this what you want?"" question showing the latest commit, that way there is a chance to correct things before it tags.",N/A,"3.0.31, 3.11.18, 4.0.13, 4.1.5, 5.0-rc1, 5.1"
CASSANDRA-19606,Fix building debian packages,"Trying to run cassandra-deb-packaging.sh will result in the docker image looping:

{noformat}
Errors were encountered while processing:
 ed
 quilt
 cassandra-build-deps
E: Sub-process /usr/bin/dpkg returned an error code (1)
(Reading database ... 36721 files and directories currently installed.)
Removing cassandra-build-deps (5.0~beta2-20240501gitae9be29918) ...
mk-build-deps: Unable to install all build-dep packages
mk-build-deps failed… trying again after 10s… 
{noformat}",N/A,"3.0.31, 3.11.18, 4.0.13, 4.1.5, 5.0-rc1, 5.0, 5.1"
CASSANDRA-19559,prepare_release.sh should check for mvn,"Part of the 'prepare' phase of releasing includes publishing Maven artifacts, which requires that it be installed.  The script should check for this since it's quite easy to miss.",N/A,"3.0.31, 3.11.17, 4.0.13, 4.1.5, 5.0-rc1, 5.1"
CASSANDRA-19551,CCM nodes share the same environment variable map breaking upgrade tests,"In {{node.py}} {{__environment_variables}} is generally always set with a map that is passed in from {{cluster.py}} so it is [shared between nodes|https://github.com/riptano/ccm/blob/ac264706c8ca007cc584871ce907d48db334d36d/ccmlib/node.py#L151] and if nodes modify the map, such as in {{start}} when [updating the Java version|https://github.com/riptano/ccm/blob/ac264706c8ca007cc584871ce907d48db334d36d/ccmlib/node.py#L860] then when {{get_env}} runs it will [overwrite the Java version|https://github.com/riptano/ccm/blob/ac264706c8ca007cc584871ce907d48db334d36d/ccmlib/node.py#L244] that is selected by {{update_java_version}}.

This results in {{nodetool drain}} failing when upgrading from 3.11 to 4.0 in some of the upgrade tests because after the first node upgrades to 4.0 it's not longer possible for the subsequent nodes to select a Java version that isn't 11 because it's overridden by  {{__environment_variables}}.

I'm not even 100% clear on why the code in {{start}} should update {{__environment_variables}} at all if we calculate the correct java version on every invocation of other tools.",N/A,"3.0.31, 3.11.17, 4.0.13, 5.0-rc1, 5.1"
CASSANDRA-19496,Add properties for redirecting build-resolve to mirrors,When running upgrade tests in CI it's not always possible to reach the public mirrors. Currently we have properties for configuring private mirrors in 4.0+ but we don't have this for 3.x.,N/A,"3.0.30, 3.11.17"
CASSANDRA-19484,Add support for providing nvdDatafeedUrl to OWASP,"This allows you to point to a mirror that is faster and doesn’t require an API key.

This is kind of painful to make work in {{ant}} because you can't specify the property at all if you want to use the API and I couldn't find a way to get {{ant}} to conditionally supply the property without having a dedicated invocation of the {{dependency-check}} task with/without the parameter {{nvdDataFeedUrl}} specified.

 ",N/A,"3.0.30, 3.11.17, 4.0.13, 4.1.5, 5.0, 5.1"
CASSANDRA-19469,python dtest packages should pin versions,We have for example in CASSANDRA-19464 seen how allowing modules to automatically upgrade themselves causes us problems.  We should pin all of these to specific versions so that the environment is entirely reproducible.,N/A,"3.0.30, 3.11.17, 4.0.13, 4.1.5, 5.0, 5.1"
