Bug_ID,Bug_Summary,Bug_Description
MAPREDUCE-7478,[Decommission]Show Info Log for Repeated Useless refreshNode Operation,https://github.com/apache/hadoop/pull/6921
MAPREDUCE-7475,Fix non-idempotent unit tests,"2 tests are not idempotent and fails upon repeated execution within the same JVM instance due to self-induced state pollution. Specifically, these tests try to make the directory TEST_ROOT_DIR and write to it. The tests do not clean up (remove) the directory after execution. Therefore, in the second execution, TEST_ROOT_DIR would already exist and the exception `Could not create test dir` would be thrown. Below are the 2 non-idempotent tests:
 * org.apache.hadoop.mapred.TestOldCombinerGrouping.testCombiner
 * org.apache.hadoop.mapreduce.TestNewCombinerGrouping.testCombiner"
MAPREDUCE-7474,[ABFS] Improve commit resilience and performance in Manifest Committer,"* Manifest committer is not resilient to rename failures on task commit without HADOOP-18012 rename recovery enabled. 
* large burst of delete calls noted: are they needed?


relates to HADOOP-19093 but takes a more minimal approach with goal of changes in manifest committer only.

Initial proposed changes
* retry recovery on task commit rename, always (repeat save, delete, rename)
* audit delete use and see if it can be pruned"
MAPREDUCE-7470,multi-thread mapreduce v1 FileOutputcommitter,"In cloud environment, such as aws, aliyun etc., the internet delay is non-trival when we commit thounds of files.

In our situation, the ping delay is about 0.03ms in IDC, but when move to Coud, the ping delay is about 3ms, which is roughly 100x slower. We found that, committing tens thounds of files will cost a few tens of minutes. The more files there are, the logger it takes.

So we propose a new committer algorithm, which is a variant of committer algorithm version 1, called 3. In this new algorithm 3, in order to decrease the committer time, we use a thread pool to commit job's final output.

Our test result in Cloud production shows that, the new algorithm 3 has decrease the committer time by serveral tens of times."
MAPREDUCE-7469,NNBench createControlFiles should use thread pool to improve performance.,NNBench is a good tool for NN performance test. And with multiples maps it will wait long time in createControlFiles.  This can use thread pool to increase concurrency.
MAPREDUCE-7468,Change add-opens flag's default value from true to false,"To support avoid issues when a newer JobClient is used with Hadoop versions without MAPREDUCE-7449 the default value of mapreduce.jvm.add-opens-as-default should be false. Currently it's true, this can cause if a newer JobClient is used to submit apps, as the placeholder replacement won't happen during a container launch, resulting in a failed submission."
MAPREDUCE-7463,Fix missing comma in  HistoryServerRest.html response body," the /ws/v1/history/mapreduce/jobs Response Body is missing a comma 

!image-2023-12-11-15-55-09-196.png|width=448,height=336!

 "
MAPREDUCE-7462,Use thread pool to improve the speed of creating control files in TestDFSIO,"When we use TestDFSIO tool to test the throughouts of HDFS clusters, we found it is so slow in the creating controll files stage. 

After refering to the source code, we found that method createControlFile try to create control files serially. It can be improved by using thread pool."
MAPREDUCE-7459,Fixed TestHistoryViewerPrinter flakiness during string comparison ,"The test {{_org.apache.hadoop.mapreduce.jobhistory.TestHistoryViewerPrinter#testHumanPrinterAll_}}

can fail due to flakiness. These flakiness occurs because the test utilizes Hashmaps values and converts the values to string to perform the comparision and the order of the objects returned may not be necessarily maintained. 

The stack trace is as follows:

testHumanPrinterAll(org.apache.hadoop.mapreduce.jobhistory.TestHistoryViewerPrinter)  Time elapsed: 0.297 s  <<< FAILURE!
org.junit.ComparisonFailure:
expected:<...8501754_0001_m_00000[7    6-Oct-2011 19:15:09    6-Oct-2011 19:15:16 (7sec)

SUCCEEDED MAP task list for job_1317928501754_0001
TaskId        StartTime    FinishTime    Error    InputSplits
====================================================
task_1317928501754_0001_m_000006    6-Oct-2011 19:15:08    6-Oct-2011 19:15:14 (6sec)

...

/tasklog?attemptid=attempt_1317928501754_0001_m_000003]_1

REDUCE task list...> but was:<...8501754_0001_m_00000[5    6-Oct-2011 19:15:07    6-Oct-2011 19:15:12 (5sec)

SUCCEEDED MAP task list for job_1317928501754_0001
TaskId        StartTime    FinishTime    Error    InputSplits
====================================================
task_1317928501754_0001_m_000006    6-Oct-2011 19:15:08    6-Oct-2011 19:15:14 (6sec)

SUCCEEDED MAP task list for job_1317928501754_0001
TaskId        StartTime    FinishTime    Error    InputSplits
====================================================
task_1317928501754_0001_m_000004    6-Oct-2011 19:15:06    6-Oct-2011 19:15:10 (4sec)

SUCCEEDED MAP task list for job_1317928501754_0001
TaskId        StartTime    FinishTime    Error    InputSplits
====================================================
task_1317928501754_0001_m_000007    6-Oct-2011 19:15:09    6-Oct-2011 19:15:16 (7sec)

...

/tasklog?attemptid=attempt_1317928501754_0001_m_000006]_1"
MAPREDUCE-7457,Limit number of spill files getting created,"Hi,

 

We have been facing some issues where many of our cluster node disks go full because of some rogue applications creating a lot of spill data

We wanted to fail the app if more than a threshold amount of spill files are written

Please let us know if any such capability is supported

 

If the capability is not there, we are proposing it to support it via a config, we have added a PR for the same: [https://github.com/apache/hadoop/pull/6155]  please let us know your thoughts on it"
