Bug_ID,Bug_Summary,Bug_Description
STORM-4060,Netty client will wait up to 10 minutes to send messages to unreachable worker on close()," 

Since PENDING_MESSAGES_FLUSH_TIMEOUT_MS is hardcoded to 10 minutes, this means buffered messages will remain in the worker 10 minutes before being given up and reprocessed.
This leads to increased latencies in the topology.
It is proposed that PENDING_MESSAGES_FLUSH_TIMEOUT_MS is exposed as property to be configured by the user.

Code that leads to this situation:
{code:java}
public class Client extends ConnectionWithStatus implements ISaslClient {
    private static final long PENDING_MESSAGES_FLUSH_TIMEOUT_MS = 600000L; {code}
{code:java}
@Override
public void close() {
    if (!closing) {
        LOG.info(""closing Netty Client {}"", dstAddressPrefixedName);
        // Set closing to true to prevent any further reconnection attempts.
        closing = true;
        waitForPendingMessagesToBeSent();
        closeChannel();

        // stop tracking metrics for this client
        if (this.metricRegistry != null) {
            this.metricRegistry.deregister(this.metrics);
        }
    }
} {code}
{code:java}
private void waitForPendingMessagesToBeSent() {
    LOG.info(""waiting up to {} ms to send {} pending messages to {}"",
             PENDING_MESSAGES_FLUSH_TIMEOUT_MS, pendingMessages.get(), dstAddressPrefixedName);
    long totalPendingMsgs = pendingMessages.get();
    long startMs = System.currentTimeMillis();
    while (pendingMessages.get() != 0) {
        try {
            long deltaMs = System.currentTimeMillis() - startMs;
            if (deltaMs > PENDING_MESSAGES_FLUSH_TIMEOUT_MS) {
                LOG.error(""failed to send all pending messages to {} within timeout, {} of {} messages were not ""
                    + ""sent"", dstAddressPrefixedName, pendingMessages.get(), totalPendingMsgs);
                break;
            }
            Thread.sleep(PENDING_MESSAGES_FLUSH_INTERVAL_MS);
        } catch (InterruptedException e) {
            break;
        }
    }

} {code}
 "
STORM-4024,Bolt Input Stats are blank if topology.acker.executors is null or 0,"On StormUI (and via API) the bolt Input Stats do not work when topology.acker.executors is null or 0 (see attachements showing difference with and without ackers)

Also, some of the per-bolt instance Executed and latency fields are also not working"
STORM-4017,isAnyWindowsProcessAlive does not work with multiple pids,"The method isAnyWindowsProcessAlive in ServerUtils.java does not work with 2 or more pids in the supplied pid collection

The refactor done as part of STORM-3638 has made an incorrect assumption that the 'tasklist' Windows tool can accept multiple arguments of ""/fi pid eq <id>"" and treat this list as an 'or' list when, in fact, the /fi arguments should be considered an 'and' list.

e.g. tasklist /fi ""pid eq 123"" /fi ""pid eq 456"" means 'give me information on processes where each process has a pid of 123 and 456'

The effect of this means that isAnyWindowsProcessAlive will always return false when given 2 or more (different) pids."
STORM-4002,Security Vulnerability - Action Required: “Incorrect Permission Assignment for Critical Resource” vulnerability in some components of  org.apache.storm," I think the method org.apache.hadoop.mapreduce.filecache.ClientDistributedCacheManager.checkPermissionOfOther(FileSystem fs, Path path, FsAction action, Map<URI, FileStatus> statCache) may have an “Incorrect Permission Assignment for Critical Resource”vulnerability which is vulnerable in in some components of  org.apache.storm. It shares similarities to a recent CVE disclosure _CVE-2017-3166_ in the project _""apache/hadoop""_ project. The influencing components are listed below:
 # org.apache.storm:storm-kafka-examples in the versions between 1.1.0 and 1.2.4.
 # org.apache.storm:storm-starter in the versions of 1.1.2-1.1.3 and 1.2.0-1.2.2

The source vulnerability information is as follows: !https://mail.google.com/mail/u/0?ui=2&ik=35947afd70&attid=0.1&permmsgid=msg-f:1782522681557497681&th=18bccaef464fb751&view=fimg&fur=ip&sz=s0-l75-ft&attbid=ANGjdJ_bBS_0CMiL9kNUgnr95IJelNJAQJp906nnAonpFswrxMbSt1EVV1S2q6kq_ur-YE-1H49gOCjMGqFYtm5xBOS_EBOZci8ukIw2Hn8kM-9OIKVIxXrlhcRm6LA&disp=emb&realattid=ii_lmt56kbv0|width=1,height=1!!https://mail.google.com/mail/u/0?ui=2&ik=35947afd70&attid=0.2&permmsgid=msg-f:1782522681557497681&th=18bccaef464fb751&view=fimg&fur=ip&sz=s0-l75-ft&attbid=ANGjdJ-8wPNUdQ35WBKaadck2X1lP34blTQ_qiyhu5T7l0G8T4cboSCiFNgfxaCQZZsK-Pm3ebzj4JSWBs558OxWHJPM1uJqKlMvPMhpx9J0TiojhC85DNqeLu3dr2Q&disp=emb&realattid=ii_lmt6415i0|width=1,height=1!!https://mail.google.com/mail/u/0?ui=2&ik=35947afd70&attid=0.0.1&permmsgid=msg-f:1782522681557497681&th=18bccaef464fb751&view=fimg&fur=ip&sz=s0-l75-ft&attbid=ANGjdJ9XERxykP1zaB9Codaz3lisQ9gKwLHXnEIHP4p4oUcINmdFEWTJAWeDMfayncBsWIBj_kc2cAKHx4c7InMtKL98nDb2Dnt3TpfGLQCcJhdFsSBhemVA14CI0rA&disp=emb&realattid=ii_loxzzieb0|width=1,height=1!

*Vulnerability Detail:*

*CVE Identifier:* CVE-2017-3166

{*}Description{*}: In Apache Hadoop versions 2.6.1 to 2.6.5, 2.7.0 to 2.7.3, and 3.0.0-alpha1, if a file in an encryption zone with access permissions that make it world readable is localized via YARN's localization mechanism, that file will be stored in a world-readable location and can be shared freely with any application that requests to localize that file.

*Reference:*[ |http://goog_608275719/] [https://nvd.nist.gov/vuln/detail/CVE-2017-3166]

{*}Patch{*}: [https://github.com/apache/hadoop/commit/a47d8283b136aab5b9fa4c18e6f51fa799d91a29]
*Vulnerability Description:* The vulnerability is present in the class  org.apache.hadoop.mapreduce.filecache.ClientDistributedCacheManager  of method  checkPermissionOfOther(FileSystem fs, Path path, FsAction action, Map<URI, FileStatus> statCache)  , which is responsible for checking the permissions of other files in the distributed cache.. {*}But t{*}{*}he check snippet is similar to the vulnerable snippet for CVE-2017-3166{*} and may have the same consequence as CVE-2017-3166: {*}a file in an encryption zone with access permissions  will be stored in a world-readable location and can be freely shared with any application that requests the file to be localized{*}. Therefore, maybe you need to fix the vulnerability with much the same fix code as the CVE-2017-3166 patch. 
    Considering the potential risks it may have, I am willing to cooperate with you to verify, address, and report the identified vulnerability promptly through responsible means. If you require any further information or assistance, please do not hesitate to reach out to me. Thank you and look forward to hearing from you soon.
 "
STORM-3956,Fix cli monitor component's argument type ,"From https://github.com/apache/storm/pull/3423

The `component` value is a string, not a number, see [Monitor.java](https://github.com/apache/storm/blob/master/storm-core/src/jvm/org/apache/storm/utils/Monitor.java#L156).

Attempting to use a number throws a stacktrace like such:

```
~/apache-storm-2.3.0/bin/storm monitor -m wordGenerator production-topology
topology	component	parallelism	stream	time-diff ms	emitted	throughput (Kt/s)
Available components for production-topology :
------------------
__acker
wordGenerator
intermediateRanker
counter
finalRanker
------------------
Exception in thread ""main"" java.lang.IllegalArgumentException: component: wordGeneratotor not found
	at org.apache.storm.utils.Monitor.metrics(Monitor.java:128)
	at org.apache.storm.utils.Monitor.metrics(Monitor.java:83)
	at org.apache.storm.command.Monitor$1.run(Monitor.java:53)
	at org.apache.storm.utils.NimbusClient.withConfiguredClient(NimbusClient.java:128)
	at org.apache.storm.utils.NimbusClient.withConfiguredClient(NimbusClient.java:117)
	at org.apache.storm.command.Monitor.main(Monitor.java:50)
```
"
STORM-3943,May I ask that you can configure a user password to log in for security verification when visiting storm ui. Check the official website security verification is not very clear. storm version 1.2.3,
STORM-3881,How to dynamically update variable information in memory after the cluster starts storm,"_I want to dynamically update some of the memory information in the Bolt processing logic, but the number and concurrency of Bolts are too large. Another way of thinking, can it be achieved by changing the memory of each worker process?_"
STORM-3871,Storm blobstore leak space,"We observe after 5 days, with 3 nimbus deployed in HA, that the blostore keeps growing.

 

Usually we submit topologies each 10min  and it ends in around 10 min. The expected result is that the blobstore cleans itself so that topologies older than days are removed. But this is not the case, as seen below (done the 2022-06-03, expected result: only blob from the current day should appear. current behavior: blobs from 2 days ago are still here)

 
{noformat}
/space/StormApp/current/bin/storm blobstore list 2>&1 | grep o.a.s.c.Blobstore | sort -k7 | perl -anE '$date=localtime($F[6]/1000);shift @F;say join "" "", $date, @F'
Wed Jun  1 14:12:43 2022 [main] INFO o.a.s.c.Blobstore - dep-apeframework-3.11.3-8f132aef-b401-4fa6-b07e-3588073da824.jar 1654092763312 [o::r--, o::rwa, u:class org.apache.storm.security.auth.NimbusPrincipal:rwa]
Wed Jun  1 14:13:43 2022 [main] INFO o.a.s.c.Blobstore - dep-apeframework-3.11.3-ae74967a-0def-44a1-8d1b-53a255900239.jar 1654092823330 [o::r--, o::rwa, u:class org.apache.storm.security.auth.NimbusPrincipal:rwa]
Wed Jun  1 14:33:00 2022 [main] INFO o.a.s.c.Blobstore - dep-apeframework-3.11.3-8fa7edcb-5f8a-4a79-8f8d-8c8fd50dbc9e.jar 1654093980305 [o::r--, o::rwa, u:class org.apache.storm.security.auth.NimbusPrincipal:rwa]
Wed Jun  1 15:14:19 2022 [main] INFO o.a.s.c.Blobstore - dep-apeframework-3.11.3-9168e429-2cd6-433c-90d9-6db19d564824.jar 1654096459069 [o::r--, o::rwa, u:class org.apache.storm.security.auth.NimbusPrincipal:rwa]
Wed Jun  1 16:13:49 2022 [main] INFO o.a.s.c.Blobstore - dep-apeframework-3.11.3-9ed7a9fd-2819-4784-a953-c04a65981c59.jar 1654100029294 [o::r--, o::rwa, u:class org.apache.storm.security.auth.NimbusPrincipal:rwa]
Wed Jun  1 22:53:29 2022 [main] INFO o.a.s.c.Blobstore - dep-apeframework-3.11.3-124b606a-0d2b-44a1-9885-4bb1152a98e7.jar 1654124009759 [o::r--, o::rwa, u:class org.apache.storm.security.auth.NimbusPrincipal:rwa]
Wed Jun  1 23:23:59 2022 [main] INFO o.a.s.c.Blobstore - dep-apeframework-3.11.3-be7e85b7-3cf1-495a-83a7-6a28da33af57.jar 1654125839685 [o::r--, o::rwa, u:class org.apache.storm.security.auth.NimbusPrincipal:rwa]
Wed Jun  1 23:33:43 2022 [main] INFO o.a.s.c.Blobstore - dep-apeframework-3.11.3-f799a103-d544-4a31-a680-1d0625fab2b9.jar 1654126423302 [o::r--, o::rwa, u:class org.apache.storm.security.auth.NimbusPrincipal:rwa]
Thu Jun  2 01:13:49 2022 [main] INFO o.a.s.c.Blobstore - dep-apeframework-3.11.3-3edcef03-f7d6-400e-8076-30dc0e5c4bff.jar 1654132429251 [o::r--, o::rwa, u:class org.apache.storm.security.auth.NimbusPrincipal:rwa]
Thu Jun  2 02:03:29 2022 [main] INFO o.a.s.c.Blobstore - dep-apeframework-3.11.3-807000a6-0416-4821-b67d-a1e5e433edce.jar 1654135409776 [o::r--, o::rwa, u:class org.apache.storm.security.auth.NimbusPrincipal:rwa]
Thu Jun  2 02:13:30 2022 [main] INFO o.a.s.c.Blobstore - dep-apeframework-3.11.3-4f7e7439-7788-4b74-81a2-4d6433caed4b.jar 1654136010028 [o::r--, o::rwa, u:class org.apache.storm.security.auth.NimbusPrincipal:rwa]
Thu Jun  2 03:03:59 2022 [main] INFO o.a.s.c.Blobstore - dep-apeframework-3.11.3-038e17f3-7acd-4c19-a212-a095e6c7adba.jar 1654139039870 [o::r--, o::rwa, u:class org.apache.storm.security.auth.NimbusPrincipal:rwa]
Thu Jun  2 07:43:30 2022 [main] INFO o.a.s.c.Blobstore - dep-apeframework-3.11.3-b4fb1761-4f97-4ac7-8785-85e2aefbb66c.jar 1654155810868 [o::r--, o::rwa, u:class org.apache.storm.security.auth.NimbusPrincipal:rwa]
Thu Jun  2 08:33:49 2022 [main] INFO o.a.s.c.Blobstore - dep-apeframework-3.11.3-ac2c4004-d561-44ad-beca-0883ad8980c5.jar 1654158829119 [o::r--, o::rwa, u:class org.apache.storm.security.auth.NimbusPrincipal:rwa]
Thu Jun  2 09:44:00 2022 [main] INFO o.a.s.c.Blobstore - dep-apeframework-3.11.3-31f8b9b4-8f79-47ef-8728-46127baf04a2.jar 1654163040830 [o::r--, o::rwa, u:class org.apache.storm.security.auth.NimbusPrincipal:rwa]
Thu Jun  2 09:53:00 2022 [main] INFO o.a.s.c.Blobstore - dep-apeframework-3.11.3-e373b50f-6282-4eaa-a702-57c8f4d0be55.jar 1654163580973 [o::r--, o::rwa, u:class org.apache.storm.security.auth.NimbusPrincipal:rwa]
Thu Jun  2 10:03:29 2022 [main] INFO o.a.s.c.Blobstore - dep-apeframework-3.11.3-9b0ac8d3-b446-4ce5-89c1-2591cdeb80e6.jar 1654164209828 [o::r--, o::rwa, u:class org.apache.storm.security.auth.NimbusPrincipal:rwa]
Thu Jun  2 11:43:43 2022 [main] INFO o.a.s.c.Blobstore - dep-apeframework-3.11.3-638cbabd-b3ba-46c3-821c-5eb45578c542.jar 1654170223374 [o::r--, o::rwa, u:class org.apache.storm.security.auth.NimbusPrincipal:rwa]
Thu Jun  2 12:13:43 2022 [main] INFO o.a.s.c.Blobstore - dep-apeframework-3.11.3-d8fb8058-d3d6-42eb-9e15-5d3682fcc2c7.jar 1654172023366 [o::r--, o::rwa, u:class org.apache.storm.security.auth.NimbusPrincipal:rwa]
Thu Jun  2 13:02:59 2022 [main] INFO o.a.s.c.Blobstore - dep-apeframework-3.11.3-46e1ff96-da4d-4936-913a-d477d743027a.jar 1654174979704 [o::r--, o::rwa, u:class org.apache.storm.security.auth.NimbusPrincipal:rwa]
Thu Jun  2 16:52:43 2022 [main] INFO o.a.s.c.Blobstore - dep-apeframework-3.11.3-b1b010ee-48d3-4fa5-b6dc-b136a4d54c59.jar 1654188763365 [o::r--, o::rwa, u:class org.apache.storm.security.auth.NimbusPrincipal:rwa]
Thu Jun  2 17:02:59 2022 [main] INFO o.a.s.c.Blobstore - dep-apeframework-3.11.3-d11859ec-7750-434b-a7d1-da5ddd2d68c3.jar 1654189379774 [o::r--, o::rwa, u:class org.apache.storm.security.auth.NimbusPrincipal:rwa]
Thu Jun  2 18:03:00 2022 [main] INFO o.a.s.c.Blobstore - dep-apeframework-3.11.3-22b34179-5dbd-4bf0-aa5d-c21a978fb8c7.jar 1654192980944 [o::r--, o::rwa, u:class org.apache.storm.security.auth.NimbusPrincipal:rwa]
Thu Jun  2 23:43:43 2022 [main] INFO o.a.s.c.Blobstore - dep-apeframework-3.11.3-2b564b9c-1727-404e-9e92-edff6b4799a6.jar 1654213423405 [o::r--, o::rwa, u:class org.apache.storm.security.auth.NimbusPrincipal:rwa]
Fri Jun  3 01:13:43 2022 [main] INFO o.a.s.c.Blobstore - dep-apeframework-3.11.3-c32e9295-abd0-48de-921f-a0d524ca4db2.jar 1654218823466 [o::r--, o::rwa, u:class org.apache.storm.security.auth.NimbusPrincipal:rwa]
Fri Jun  3 05:33:31 2022 [main] INFO o.a.s.c.Blobstore - dep-apeframework-3.11.3-4f88e716-a620-4897-bc80-89e3bfa2282c.jar 1654234411000 [o::r--, o::rwa, u:class org.apache.storm.security.auth.NimbusPrincipal:rwa]
Fri Jun  3 08:43:31 2022 [main] INFO o.a.s.c.Blobstore - dep-apeframework-3.11.3-deb4795a-1983-46ea-a6a3-00457d44d523.jar 1654245811327 [o::r--, o::rwa, u:class org.apache.storm.security.auth.NimbusPrincipal:rwa]
Fri Jun  3 10:23:00 2022 [main] INFO o.a.s.c.Blobstore - dep-apeframework-3.11.3-e887952c-2403-484c-ab53-22ff75a26b9a.jar 1654251780168 [o::r--, o::rwa, u:class org.apache.storm.security.auth.NimbusPrincipal:rwa] {noformat}"
STORM-3863,tirupathi trip from chennai,"Padmavathi Travels T.Nagar Provides Chennai to tirupati Car Packages and Services at best Price. *Our Tirupati Tour Package by car* includes all the customer requirments, We are operating Daily Tirupati Balaji Darshan from Chennai for more than 23+ years. Padmavathi Travels chennai is considered as one of the best travel agents in chennai.

https://padmavathitravels.com/index.amp.shtml"
STORM-3856,"Warning ""contains cycles in components"" from StormSubmitter","StormSubmitter throw exception when cycles detected, 
with no configuration option to disable this warning.

Although sometime the cycle create by design.

please add configuration for disable the warning for specific topology."
